date,item,amount
2022/02/19,襯衫,880
2022/02/25,住宿,530
2022/02/26,天燈,200
2022/03/23,手機殼,980
2022/04/15,棉褲,530
2022/04/18,帽子,1380
2022/04/18,卡哈襯衫,1184
2022/05/18,HUF 帽踢,900
2022/06/09,hub,899
2022/06/11,礁溪住宿,1310
2022/06/18,華泰名品城,5497
2022/06/26,帽子,591
2022/07/18,小包 褲子,1500
2022/08/24,修鞋,1000
2022/09/28,ck禮物,1730
2022/10/02,AF1,3400
2022/10/02,Apple Watch,7000
2022/10/05,錶帶,400
2022/10/20,插頭,270
2022/10/21,西裝外套 西裝褲,960
2022/10/22,北臉帽子,768
2022/10/23,essentials 帽踢,2000
2022/11/11,耳環 項鍊,493
2022/11/17,patagonia衣服褲子,1400
2022/12/19,生日禮物 拍立得,3040
2022/12/19,蛋糕,638
2022/12/25,交換禮物小ck,990
2022/12/26,系服,850
2022/12/26,balenciaga帽,5615
2022/12/26,生日餐,2552
2023/01/15,大學踢,399
2023/01/20,襪子,440
2023/01/20,行充,200
2023/01/28,戒指,1000
2023/02/01,Nike包,1960
2023/02/07,襯衫,741
2023/02/20,手機殼,490
2023/03/05,essentials大學踢,1960
2023/03/08,玫瑰,500
2023/03/10,NCAA短袖,579
2023/03/29,Mitty,1950
2023/04/04,染頭髮,2000
2023/04/09,aj1,3300
2023/04/29,襯衫,780
2023/05/01,balenciaga T,5360
2023/05/05,油,1780
2023/05/21,耳機,8000
2023/06/02,gt cut2,3680
2023/06/09,墨鏡 項鍊,660
2023/06/21,kangol,790
2023/07/01,crocs,2360
2023/07/11,nike短褲,1216
2023/07/13,鍵盤,3390
2023/07/15,Nike短褲,1080
2023/07/18,西門短踢,350
2023/07/21,STUSSY 褲褲,760
2023/08/01,coach寶寶禮物,8000
2023/08/07,outliers,2379
2023/08/26,寶寶行充,480
2023/08/26,蛋糕,750
2023/08/30,筆尖,590
2023/09/14,Spotify,550
2023/09/15,電動滑板,5090
2023/09/30,Prada 卡夾,2575
2023/11/01,加拿大 🇨🇦,100000
2023/11/03,15pro,22400
2023/11/03,膜 手機殼,650
2023/11/04,行充,845
2023/11/17,Casetify,2062
2023/11/26,Prada皮包,4075
2023/12/14,essential帽踢,3000
2023/12/15,耳機架,599
2023/12/15,白踢,199
2023/12/19,帽踢,580
2023/12/25,外套,993
2023/12/29,阿吉機車,520
2023/12/29,韓國遮瑕,1000
2023/12/29,Loewe 大學踢,5600
2023/12/31,罰單,825
2024/01/01,孫禮物,915
2024/01/01,Mitty 衣服褲子,2050
2024/01/01,電子煙,2750
2024/01/04,寶寶wollensky,5643
2024/01/06,Netflix,1200
2024/01/20,寶寶 辛殿,870
2024/02/09,業配皮鞋,2790
2024/02/14,寶寶 情人節餐,2037
2024/02/14,寶寶 耳環,3250
2024/02/15,JKS 外套*2,2310
2024/02/18,outliers,2000
2024/03/03,電子煙,2550
2024/03/24,電子煙,1900
2024/04/04,寶寶 旭集,3218
2024/04/16,貼膜,980
2024/04/23,遠傳取消,765
2024/05/04,寶寶 步查,1500
2024/05/20,Obge x2,1500
2024/05/24,寶寶 撈,1811
2024/06/07,寶寶 三味,750
2024/06/07,電子煙,1950
2024/06/20,一中襯衫,1340
2024/07/11,寶寶 橘色,2079
2024/07/23,紅軸鍵盤,2800
2024/07/25,僔日本代購,4500
2024/07/25,new era,1311
2024/07/25,寶寶築間,1386
2024/07/27,刺青,3000
2024/08/02,香港 🇭🇰,25000
2024/08/06,Marshall,5475
2024/08/08,罰單,1200
2024/08/23,人體工學椅,7000
2024/08/24,balenciaga 墨鏡,7443
2024/08/25,自拍棒,990
2024/08/28,377美白,1200
2024/08/31,螢幕支架,1300
2024/09/03,dyptique,4500
2024/09/04,凱薩,1550
2024/09/11,請客 燒肉,2893
2024/09/15,隊費,2000
2024/09/22,找女人,8157
2024/09/24,煙油 煙倉,3000
2024/09/30,找女人上來,2500
2024/10/01,固定開銷,20668
2024/10/18,女人上來,2500
2024/10/20,outliers,4000
2024/10/26,生日🍊,15950
2024/11/01,固定開銷,20668
2024/11/03,貼摸 + 鏡頭膜,1000
2024/11/03,手鍊 項鍊,1600
2024/11/03,耳洞 + 耳環,480
2024/11/03,美式短袖,891
2024/11/17,爸媽姑吃飯,4100
2024/11/18,皮衣,660
2024/11/21,健工 verve,650
2024/11/26,AirPods Pro2,5100
2024/11/28,投影機,1380
2024/12/01,固定開銷,20668
2024/12/16,擴香,650
2024/12/17,Dior 大學踢,6000
2024/12/17,Ami 帽踢,7000
2025/01/01,固定開銷,20668
2025/01/02,華泰名品城,5523
2025/01/04,Bumper (needles),13050
2025/01/10,花蓮,6875
2025/01/11,rooton 沐浴組,1900
2025/01/14,煙油,3100
2025/01/16,首飾,969
2025/01/20,balenciaga項鍊,3800
2025/01/25,MOOS 衣服,3119
2025/01/25,Air Force,3240
2025/01/31,24/10/01 ~ 25/01/31 生活費,104926
2025/02/01,Bumper 皮衣 帽子,3960
2025/02/01,褲子 threads 店,790
2025/02/02,舊物盛典 手鍊 耳環,670
2025/02/05,小莫 花🌹,850
總計,,679742
