date,item,amount
2021/09/12,學測弟 家教,7700.0
2022/06/27,小恩 家教,24100.0
2022/10/26,宿舍杯,120.0
2022/10/26,發票,3900.0
2022/10/26,借學士服,500.0
2022/10/26,地陪,2000.0
2022/10/26,旋轉,12130.0
2022/10/26,行政院,6000.0
2022/10/26,生日禮物,3000.0
2022/10/26,電資嘉年華,500.0
2022/10/26,生日紅包,1000.0
2022/10/26,葉配,1300.0
2022/10/26,Peeta硬舉,1000.0
2022/10/26,網管紅包,600.0
2022/10/26,出清台大,1950.0
2022/10/26,程式接案,1000.0
2023/10/26,生日紅包,20000.0
2024/01/01,📈 股票,61523.0
2024/01/01,🏦 股利,21076.0
2024/01/01,🪙 虛擬貨幣,3630.0
2024/01/01,💰 中研院薪水,94000.0
2024/01/01,💰 台大薪水,120000.0
2024/08/10,Compal 薪水,32993.0
2024/09/10,Compal 薪水,32772.0
2024/10/09,Genibuilder 薪水,75000.0
2024/11/08,Genibuilder 薪水,105623.0
2024/12/10,Genibuilder 薪水,68123.0
2024/12/10,GenAI Stars 獎金,18000.0
2024/12/20,存款息,209.0
2025/01/10,Genibuilder 薪水,143123.0
2025/02/03,BTC 合約,3426.3225359999997
總計,,866298.322536
